# X   ReNUP   KaMinPar   KaHIP
0    0.00    26         26
20   5.12    26         26
40   14.12   26         26
60   17.30   26         26
80   22.95   26         26
100  14.12   26         26
120  26.30   26         26
140  19.95   26         26
160  31.95   26         26
180  34.95   26         26
