# X  ReNUP   KaMinPar  KaHIP
0    1318    1435       1332.2
20   1319    1435       1332.2
40   1307    1435       1332.2
60   1258    1435       1332.2
80   1159    1435       1332.2
100  1149    1435       1332.2
120  1234    1435       1332.2
140  1341    1435       1332.2
160  1416    1435       1332.2
180  1659    1435       1332.2
